      Plot replica #,up1 a,up1 b,up1 c,dp1 a,dp1 b,dp1 c,sp1 a,sp1 b,sp1 c,um1 a,um1 b,um1 c,dm1 a,dm1 b,dm1 c,sm1 a,sm1 b,sm1 c,                GT a,                GT b,                GT c,G2 a,G2 b,G2 c,
384,0.186400,2.689495,-5.544002,6.223296,-8.427942,3.450648,2.821593,-0.254664,-1.877436,-4.866177,5.905419,6.605805,-8.563707,10.364290,2.805440,7.454939,-1.680508,-15.206246,1.005253,-0.072638,-2.121383,0.457877,-0.985993,-1.312039,
385,2.793137,-2.437713,-11.298885,4.638692,-4.207409,-4.587630,6.245849,7.971819,-26.561532,-3.916121,5.283212,4.970664,-2.876370,-9.349440,15.610511,11.468643,-2.600496,-22.085746,0.516727,0.927456,-4.348576,-0.883133,-0.154120,3.777924,
386,3.658852,-1.969024,-7.169436,2.897321,-5.248249,6.309597,3.211805,3.090333,-6.522194,-2.711524,3.186676,5.899392,2.664514,-5.747502,-1.504438,11.064495,-6.472992,-16.613733,-0.250637,1.143844,1.612015,-0.085252,-0.100993,-1.173636,
387,-0.130716,-1.817575,-1.943365,7.706178,-9.531348,-0.141738,0.221505,1.370567,-0.187458,-1.112697,2.225285,2.917353,-0.680069,-2.625752,2.091106,8.168566,-3.693673,-14.117684,-1.004435,-0.449870,5.617325,-0.208253,1.245580,-1.590093,
388,1.005124,-0.808412,-8.184041,4.979865,-8.305154,0.812123,6.172083,3.661202,-19.509352,-5.399708,8.676861,5.548605,-4.845290,8.926951,-2.107175,12.305056,1.415762,-28.394581,1.114776,1.118118,-8.014578,0.208338,-0.525522,1.316597,
389,2.319454,-3.248089,-6.235583,2.954435,-5.881473,3.880273,4.456097,5.434039,-15.954993,-4.396862,2.037670,10.666545,-3.783358,-0.767437,5.232132,9.374733,-7.575266,-11.501598,0.653308,0.095832,-3.702167,0.087830,0.102623,-0.060689,
390,0.196118,-1.831602,-3.748021,3.008449,-11.376843,9.692734,-1.434770,7.490706,-5.840427,-6.151473,7.690100,7.923988,-1.174757,-1.245299,0.670093,6.108372,0.998222,-14.444344,-2.353928,0.138634,6.720996,0.579176,1.058707,-2.210049,
391,1.425178,3.799552,-10.881458,10.644414,-12.846150,-2.439650,-2.787118,4.539335,1.540921,-4.615217,4.958414,7.294689,-2.721940,2.167584,1.840608,11.505175,-7.802811,-15.954931,1.975347,-1.704982,-0.968435,-0.903716,0.190162,0.973743,
392,2.314439,0.211509,-9.294979,4.790042,-6.243933,0.493107,-3.016273,1.850239,3.611399,0.083087,-0.653562,3.413676,2.186504,-5.859735,-0.739641,11.057483,-8.192655,-15.034665,1.055718,0.526622,-6.294846,0.567857,-0.566388,-0.478995,
393,-1.375484,1.997949,-4.471511,4.265987,-8.431805,4.810522,13.684432,-2.636432,-25.706248,-4.159763,2.118013,10.176908,-12.841566,7.290559,16.183178,5.648788,-4.055996,-7.851994,-0.617012,0.210017,4.691511,-1.086539,1.110847,0.899183,
394,4.185089,-4.243487,-9.453694,2.372446,0.767191,-2.951797,-4.682882,14.414457,-8.104788,-3.647354,2.623152,8.884534,6.797821,-7.713867,-7.025101,8.751195,-1.571228,-16.449445,1.340420,0.138149,-5.629766,0.012942,-1.041936,1.578700,
395,-1.421763,0.469788,1.301866,5.046235,-10.167346,9.045198,0.148737,0.852842,2.190365,-3.956852,6.044134,4.612361,1.253409,-2.252605,-3.379660,6.493202,-1.191406,-12.872674,-1.930699,0.901341,4.988585,1.537539,-0.368144,-4.622810,
396,-2.551142,6.851589,-7.239107,5.972205,-11.831031,5.924568,-3.947406,14.350692,-9.771266,-3.831754,1.829989,8.622359,2.108563,-3.896637,-3.514548,5.209180,0.848993,-14.713877,1.725616,0.958804,-3.258072,-1.076744,1.044244,0.766574,
397,2.870405,-2.866271,-4.869999,0.899640,-9.161620,14.301027,-3.218812,-4.380657,12.061553,-3.711562,3.104434,6.560039,-0.680655,-3.589816,1.935872,12.743001,-1.785449,-27.229270,-2.783940,1.912193,4.280037,1.856525,-0.507964,-4.232874,
398,-0.165819,-1.499502,-10.121974,7.033484,-8.047843,-8.559634,1.581249,5.186397,-15.048447,-7.484986,13.778109,3.330407,-5.786030,1.885061,6.828331,6.294473,-0.157393,-12.718162,0.792072,-1.193736,-6.637864,0.150478,-0.473541,3.636987,
